product_id,产品名称,承保公司,渠道,在售状态,投保年龄,保障期间,等待期,犹豫期,置信度,数据抓取日,形态,续保条件,一般医疗限额(万),重疾医疗限额(万),免赔额,报销比例,特药/外购药,质子重离子,增值服务,年保费(元),保费口径,亮点与短板,来源
MED-01,众安保险尊享e生·百万医疗保险2026版,众安在线财产保险股份有限公司,互联网（众安官方App/官网、小雨伞、慧择等平台）,在售,首次投保出生满30天—70周岁（门急诊加油包限30天—55周岁）；职业1-4类；最高可续保至105周岁,1年,30天（意外无等待期；互联网药品费用责任等待期7天）,15天（2026版；此前版本为2天，来源间存在口径差异，以投保页为准）,medium,2026-09-08,百万医疗；1年期非保证续保（互联网爆款，逐年迭代，可续保至105周岁）,非保证续保。保险期间届满需重新投保并经保险人同意；历史上尊享e生系列每年迭代、老客户可免等待期升级转投新版，实际续保体验宽松，但无条款层面保证续保承诺,300,300,一般医疗与外购药械、门急诊医疗共享年度免赔额1万元（可选家庭单共享免赔额加油包）；0免赔方案为3万免赔档分级累进报销,大部分责任经社保后100%（特定疾病康复住院责任最高80%）,外购药械无清单限制；院外特药含15种特种进口药品，扩展121种罕见病保障,含质子重离子医疗保障，2026版不再限指定医院清单，全国符合条件的质子重离子医院均可报销,"就医绿通、医疗费用垫付、术后康复护理等；2026版新增康复医疗责任（重疾康复住院）及""所有疾病复议""核保机制",318,30岁，有社保，首年保费，1万免赔版（含外购药、院外特药必选责任）,互联网百万医疗第一IP、版本迭代快、责任全面（门急诊/外购药/罕见病）；短板是1年期非保证续保。附加可选100种重疾确诊给付5万元重疾保险金,https://www.xiaoyusan.com/insurance/detail?id=178938; https://m.huize.com/study/detail-577959.html; https://ihealth.zhongan.com/imc/gt?promotionId=2058578; https://zhuanlan.zhihu.com/p/1984598549992850884
MED-02,好医保·长期医疗（旗舰版2026）,中国人民健康保险股份有限公司（人保健康），蚂蚁保保险代理有限公司代理销售,互联网（蚂蚁保/支付宝）,在售,出生满28天—55周岁（旗舰版初代）；旗舰版2025起放宽至60周岁（2026版以投保页为准）,1年；保证续保期间：一般医疗20年，癌症及11种心血管等特定疾病终身,90天,15天（界面新闻测评Q20：好医保旗舰版提供15天犹豫期，期间支持无条件全额退款，具体详见投保界面）,high,2026-09-08,百万医疗（0免赔高端化形态）；1年期+保证续保：一般医疗20年、特定疾病终身保证续保,保证续保。一般医疗保证续保20年，特定疾病（癌症+11种心血管疾病）最高终身保证续保；保证续保期内理赔、健康变化、停售均不影响续保，费率可调；产品停售可免健康告知、免等待期转续保险公司指定其他医疗险,400,400,0免赔额（一般医疗及外购药械1万元以内部分按30%赔付、1万元以上100%；特疾医疗0免赔100%）,1万以上经社保100%；1万以内经社保30%、未经社保18%；有社保身份但未经社保结算的报销60%；院外抗癌特药60%-100%,先进药械责任全面：院内+院外全疾病药械覆盖（含进口药、原研药、创新药械），0免赔100%；含港澳+博鳌境外药械保障,含质子重离子医疗，保额400万、0免赔、100%报销（多数同类产品仅100万）,就医绿通（专家门诊预约、安排床位和专家手术）、住院费用垫付、优惠体检、在线问诊、药品补贴；2人投保95折、4人投保9折,426,30岁、健康、有医保/社保，首年投保（深蓝保口径为30岁健康女性）,"行业首个""0免赔+癌症及心血管疾病终身保证续保""百万医疗，14种疾病扩展三甲特需部/国际部/指定私立医院；附加100种重疾确诊给付1万重疾津贴；短板是价格比同类高30%-50%。住院前后门急诊各30天",https://ssr.alipay.com/insone/ssg/spNo45174_prodNo45175.html?source=seo_index; https://www.shenlanbao.com/pingce/1202274082036318208; https://www.shenlanbao.com/wenda/1-730426; https://www.mayibao.cn/insurance-products; https://www.stcn.com/article/detail/1160224.html; https://m.jiemian.com/article/14311741.html
MED-03,蓝医保·长期医疗险（好医好药0免赔版）,太平洋健康保险股份有限公司（条款名：太保互联网个人长期B款医疗保险（费率可调））,互联网（太保官网/官方H5、蚂蚁保等平台，慧择/小雨伞分销）,在售,出生满30天—70周岁（官方产品页口径）,1年（保证续保20年）,90天（意外伤害无等待期）,15个自然日,medium,2026-09-08,百万医疗；1年期、费率可调、保证续保20年,保证续保20年，保证续保期内停售、理赔、健康变化均不影响续保；费率可调；续保最高可至99周岁,300,600,0免赔版：一般医疗/重疾/质子重离子/特药均0免赔（1万元以下部分按计划报销比例30%起、1万以上100%）；标准版：一般医疗1万免赔,经社保结算后100%；一般医疗1万元以下部分按约30%赔付（分级累进设计）,特药保障最高200万，涵盖约207种恶性肿瘤特药，含CAR-T疗法药品（如奕凯达）；好医好药版外购普通药品及器械不限清单、符合规定100%报销（含64种进口原研药）,含质子重离子医疗保障（0免赔版0免赔）,就医绿通、特需医疗可选（一般疾病特需医疗200万/1万免赔/100%；120种重疾特需医疗400万/0免赔/100%）；线上问诊2000元0免赔；家庭单2人95折、3人及以上9折并共享免赔额,328,30岁，有社保/医保，首年保费：标准版（1万免赔）约234元/年起；0免赔版（计划一，含必选特药，一般医疗300万）约328元/年,外购药械不限清单是核心卖点（国家药监局批准的普通外购药和器材均100%报销）；少儿中高端版另覆盖特需/VIP/国际部。年度给付限额400万、保证续保期内800万（0免赔版责任上限另计）,https://h-h5api.cpic.com.cn/product-instance/3vSvJRum; https://www.cpic.com.cn/; https://www.huize.com/product/detail-104135.html; https://www.xiaoyusan.com/insurance/detail?id=177555; https://zhuanlan.zhihu.com/p/689526156; https://www.cpic.com.cn/c/2026-06-17/1883958.shtml
MED-04,微医保·长期医疗险（20年期）,平安健康保险股份有限公司（注意：微医保品牌在腾讯微保平台销售，但20年期长期医疗的承保方是平安健康，条款为《平安e生保长期个人住院医疗保险（费率可调）》；微保平台另有泰康在线承保的微医保·百万医疗险1年期产品，勿混淆）,互联网（腾讯微保/微信，平安健康官方渠道）,在售,出生满30天—55周岁（第三方口径，另有最高60周岁说法，以投保页为准）,1年（保证续保20年）,90天,15天（《平安e生保长期个人住院医疗保险（费率可调）》条款1.6：自您收到本主险合同当日起有15日犹豫期，期间解除合同无息退还全部保险费；条款附表1亦载明犹豫期15天）,medium,2026-09-08,百万医疗；1年期、费率可调、保证续保20年,保证续保20年，期内身体状况变化、理赔过、产品停售均不影响续保；费率可调；20年保证续保期满后续保需经保险公司审核（可能无法继续购买）,200,400,一般医疗与120种重疾住院医疗均有1万元免赔额（重疾非0免赔，为该产品短板）,经社保后100%（以条款为准）,未见外购药/特药责任（深蓝保指出缺少外购药等实用功能）,含质子重离子治疗保障，保额100万,住院就医绿通、专案管理；缺少医疗费用垫付、外购药等服务,,30岁，有社保，首年保费（经济观察网曾报道微保渠道20年保证续保医疗险30岁有社保约238元/年，但该报道承保主体口径与平安健康版存在出入，无法确认对应本产品）,微保平台+平安健康品牌的20年保证续保产品，20年内累计最高报销800万；短板：重疾仍有1万免赔、等待期90天、满期续保需审核、增值服务少,https://m.shenlanbao.com/wenda/12-705690; https://m.shenlanbao.com/pingce/748951003109396480; https://www.wesure.cn/m/disclosure.html; https://file.shenlanbao.com/2021/03/03/816712054882312192.pdf; https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1072&versionNo=1072-4&attachmentType=2
MED-05,泰爱保·百万医疗全民版（2026）,泰康在线财产保险股份有限公司,互联网（泰康在线官网/官方H5）,在售,出生满30天—70周岁,1年,疾病30天、意外无等待期（注：泰爱保至尊版等待期为90天，不同版本不同）,15天,medium,2026-09-08,百万医疗；1年期非保证续保,非保证续保（1年期财产险公司医疗险）；续保无等待期，续保费率随年龄调整、不因个人理赔单独加费（以条款为准，存在停售风险）,300,600,"一般医疗免赔额1万元；重疾医疗、恶性肿瘤院外特药、特定医疗责任均为0免赔（""多重0免赔""）",经社保后100%（以条款为准）,恶性肿瘤院外特种药品费用保险金600万，院内院外用药均可（含特药责任，CAR-T情况未核实）,含质子重离子医疗保险金600万,就医绿通、费用垫付类服务（以投保页为准）；家庭投保折扣：立减5%、3人立减10%,280,30岁，有社保，首次投保基准年保费。按官网产品页基础责任组合加总：住院费用医疗保险2025版E款必选责任（一般医疗300万+重疾特疾600万+外购药械+质子重离子600万）190元+恶性肿瘤院外特种药品费用保险金19元+临床急需进口药品及进口器械28元+恶性肿瘤海外医疗13元+附加扩展门（急）诊医疗保险B款（保额1万）30元=280元/年；未计投保立减5%/2人立减5%/3人以上9折，不含可选津贴、疾病/意外门急诊等可选责任,投保年龄放宽至70周岁、一般医疗300万+重疾600万+特药600万+质子重离子600万，责任额度在1年期产品中较高；短板为非保证续保。泰康另有泰爱保·长寿无忧百万医疗（40-85岁慢病高龄版）,https://www.tk.cn/newpc/productCenter/detail/S2025102301; https://cj.sina.cn/articles/view/1813776593/6c1c08d1001013ruk; https://www.163.com/dy/article/KVG7UGP00556JONV.html; https://news.vobao.com/article/1172421314392564084.shtml; https://m.shenlanbao.com/wenda/12-471215; https://www.tk.cn/cms-zx/20250411/aeb7ad01942144ba8265f890e11c13e1.pdf; https://www.tk.cn/cms-zx/historypublic/historypublic/878a627a67c943f4a86c.pdf; https://www.tk.cn/cms-zx/productFactory/product/ZH10N0505/3/泰康在线·泰爱保·百万医疗2026说明书.pdf; https://www.tk.cn/cms-zx/20260828/6b4471e003ad4bc1986a112788374e8b.pdf; https://www.tk.cn/zxpublicinfo2023/
MED-06,国寿康悦臻享医疗保险（费率可调）,中国人寿保险股份有限公司,个险为主（中国人寿个险渠道，2025年6月上市）,在售,出生满28日—60周岁；最高续保年龄80周岁,1年（保证续保期间10年）,30天（第三方口径，官网新闻未载明，以条款为准）,—,high,2026-09-08,百万医疗；1年期、费率可调、保证续保10年（中国人寿首款费率可调长期医疗险）,保证续保10年：期内即使健康状况恶化或发生理赔仍可续保，免除重新健康审核；保证续保期内费率可能调整（费率可调产品）,200,200,医疗费用保险金年度免赔额1万元；院外特定重大疾病急需药品费用免赔额0元,给付比例100%；以有基本医保/公费医疗身份投保但未以该身份就诊或结算的，给付比例60%,院外特定重大疾病急需药品费用保险金：年度限额2万元、保证续保期间累计限额5万元、0免赔（第三方称涵盖约10种高价抗癌药，官网有药品清单）,未见单独质子重离子责任（官网新闻未提及）,重大疾病住院日额保险金：每日100元（每年90日为限）；保障覆盖住院、特殊门诊、住院前后门（急）诊、门诊手术,355,30岁，有医保/社保，年保费（第三方测评口径，未获取官方费率表）,大公司个险渠道首款10年保证续保费率可调百万医疗，年度限额400万（一般+重疾各200万）、保证续保期内总限额800万；院外特药年限额仅2万，明显低于互联网产品,https://www.e-chinalife.com/c/2025-06-19/b0f25132-1a91-48c7-8dc7-9942efdac021.shtml; https://www.e-chinalife.com/c/2025-05-08/4d5b2c92-5877-42d5-a0e8-f63de86ac02f.shtml; http://ex.chinadaily.com.cn/exchange/partners/114/rss/channel/cn/columns/07pz5d/stories/WS6853719ba310205377038e8b.html
MED-07,友邦传世无忧（2026）高端医疗保险,友邦人寿保险有限公司,个险（友邦代理人）,在售,官网未直接披露；第三方称出生满30天—70周岁（低置信，具体以投保规则为准）,1年,30天（友邦官方产品说明书B3196-1：除另有约定外，保险合同生效日起30日内（含第30日）为等待期；意外事故无等待期；精神疾病住院治疗费、艾滋病/感染人体免疫力缺乏病毒住院治疗费及精神疾病门急诊费等待期180天；可选责任2-牙科医疗费用补偿金等待期90天；按条款获得新合同或由指定产品转投经审核同意的，可免除等待期）,—,medium,2026-09-08,高端医疗（非严格百万医疗，用户指定的友邦主力医疗险）；1年期非保证续保,非保证续保，重新投保制；续保费率随年龄变化；提供无理赔费率政策（重新投保时应交保费×95%）；2024版曾有私立医院赔付比例调整与续保加费争议,600,800,年度免赔额可选（历史版本为0元或1万元两档；老款传世无忧年度免赔1万元、荣耀版1.28万元，以2026版投保选项为准）,责任及额度内100%（以方案选择为准，私立医院等有赔付比例约定）,"含外购药械费用保障；可扩展门急诊、牙科、""护无忧""服务等",含质子重离子医疗费用保障,高端医疗直付网络、住院/手术/门急诊/牙科责任可选、保障区域可选（中国大陆/全球除美/全球等）、医院范围可选,5019,友邦不公开费率表，需代理人报价；深蓝保对友邦高端医疗的历史口径：30岁、不含昂贵医院、仅住院、1万免赔约5019元/年，0免赔约10488元/年（非2026版精确数字）,保险期间内累计给付限额600万/800万两档，自由选择保障区域、医院范围、年度免赔额、保险责任；保费量级数千至上万元，与百万医疗险（数百元）不同量级,https://www.aia.com.cn/zh-cn/baoxian/yiwaiyiliao/chuanshiwuyou2026; https://www.shenlanbao.com/wenda/10-401517; https://zhuanlan.zhihu.com/p/359090736; https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/brochure/B3196-1%E5%8F%8B%E9%82%A6%E4%BC%A0%E4%B8%96%E6%97%A0%E5%BF%A7%EF%BC%882026%EF%BC%89%E9%AB%98%E7%AB%AF%E5%8C%BB%E7%96%97%E4%BF%9D%E9%99%A9%E7%9A%84%E4%BA%A7%E5%93%81%E8%AF%B4%E6%98%8E.pdf
MED-08,复星联合超越保（无忧版，2026年测评在售版）,复星联合健康保险股份有限公司,互联网（小雨伞、慧择等经纪平台）,在售,首次投保18—70周岁；最高可续保至105周岁,1年（保证续保10年）,疾病60天、意外无等待期、续保无等待期（第三方口径：知乎测评'不清楚这6点，不建议买超越保无忧版！'及开心保转述条款'保单生效日起60天内（含第60天）为等待期'；等待期内确诊疾病，不论费用发生在等待期内还是等待期后均不予报销，但合同继续有效；未直接核对条款原文）,—,medium,2026-09-08,百万医疗（免健康告告知型）；1年期、费率可调、保证续保10年,保证续保10年：期内发生理赔或疾病复发仍可正常续保，产品停售不影响保证续保权；每个保险期间届满后60日内按时缴费即可续保，续保无等待期、无需重新健康告知；费率可调,200,200,一般医疗分两档计划（免赔额1万/2万档常见，部分方案可选0免赔）；重疾住院0免赔；无理赔免赔额逐年递减（连续无理赔每年下调1000元）；家庭单可共享免赔额,经社保后100%（以条款为准）,含特药责任（种类数未核实到确切数字）；重大既往症自第365日起可享5000元医疗保障,未单独核实到该责任限额,免健康告知投保（高血压、结节等常见既往症可保可赔）；就医绿通等常规服务,496,30岁、有社保、计划一（2万免赔档，无理赔免赔额逐年递减最低1.5万；重疾0免赔），首年保费496元（慧择测算，男性口径）。注：该产品在售计划无1万免赔档——计划一为2万免赔、计划二为0免赔（2万以内赔50%）,"核心卖点是""免健康告知+10年保证续保""，面向非标体（带病/高龄）人群；保证续保期内总赔付限额800万（保险期间内400万）；标准版超越保2025为需健告版本",https://www.xiaoyusan.com/shk/wkpage/bxzs/300011944; https://m.huize.com/study/detail-575507.html; https://www.shenlanbao.com/wenda/12-652606; https://www.kaixinbao.com/jiankang-baoxian/357676.shtml; https://m.huize.com/study/detail-577430.html; https://zhuanlan.zhihu.com/p/1966534031056279017
MED-09,金医保3号长期医疗险（成人版）,中国人民人寿保险股份有限公司（人保寿险；注意不是人保健康，与好医保系列分属不同人保子公司）,互联网（蚂蚁保/支付宝为主，小雨伞等平台分销）,在售,成人版首次投保16—55周岁（另有少儿版出生满28日—17周岁可投），续保年龄最高74周岁（小雨伞口径；另有续保至99周岁的口径，以条款为准）,1年（保证续保20年）,疾病等待期90天（意外无等待期，续保无等待期）,—,medium,2026-09-08,百万医疗；1年期、费率可调、保证续保20年,保证续保20年，保证续保期内不会因产品停售或身体变化无法续保；费率可调；家庭单2人95折、3人及以上更高折扣且免赔额可共享,200,400,一般医疗1万免赔，重疾0免赔；连续无理赔免赔额每年递减1000元、最低可降至7000元（家庭单连续3年无理赔）,以社保身份投保经社保结算后100%；未经社保结算按60%报销,院外恶性肿瘤特定药品费用保额约200万、0免赔100%赔付；特药种类各渠道记载有差异（常见说法163种含3种CAR-T，亦有约186种含5种CAR-T的说法，以条款药品清单为准）；另新增外购药品及医疗器械责任：不限清单不限疾病、0免赔、年度保额100万（注：该附加责任为1年期不保证续保）,未单独核实到该责任限额（以条款为准）,就医绿通、住院垫付类服务（以投保页为准）；家庭单折扣与免赔额共享/递减机制,205,30岁，有医保/社保，基础责任（不含院外特药等可选责任），首年保费,蚂蚁保渠道人保系爆款，20年保证续保+免赔额递减+外购药械不限清单（附加）；年度理赔限额400万、保证续保期内800万；少儿另有金医保3号少儿中高端版（0免赔）,https://www.xiaoyusan.com/insurance/detail?id=176461; https://www.shenlanbao.com/pingce/1278378985419956224; https://www.shenlanbao.com/wenda/11-635586; https://m.huize.com/study/detail-573148.html; https://www.xiaoyusan.com/shk/wkpage/bxzs/300010995
MED-10,复星联合星相守2号长期医疗险（个人版）,复星联合健康保险股份有限公司,互联网（慧择为主销平台）,在售,出生满28天—70周岁（续保可至99周岁；高龄投保有免赔额/体检限制）,1年（保证续保20年）,90天（意外伤害无等待期，续保无等待期）,15天,medium,2026-09-08,百万医疗（可选特需计划二为中端形态）；1年期、费率可调、保证续保20年,保证续保20年，期内理赔、健康变化、停售不影响续保；费率可调；家庭单所有被保险人上一年度无理赔，续保时免赔额下调1000元，累计最高下调5000元；一旦发生理赔，下一保单年度免赔额恢复至首次投保水平,200,400,一般医疗/轻中症/外购药共用免赔额，可选0元/1万/1.5万/2万；重疾医疗0免赔；无理赔逐年下调,经社保报销后100%,外购药和器械保障（住院医疗、住院前后45天门急诊、特殊门诊、门诊手术均覆盖）；可选外购抗癌药责任,未单独核实到该责任限额（测评确认保障齐全，以条款为准）,"可选特需医疗计划（计划二，中端形态覆盖特需部）；新增""基础医疗保险金""：1万免赔版本附加后，1万以内费用医保报销后最高可报60%（变相0免赔）；免体检额度60岁以下",194,30岁，有社保，1万免赔额版本（含外购药必选责任），首年保费,20年保证续保产品中保费最具竞争力（30岁约194元）；住院前后45天门急诊（多数产品为前7后30）；免赔额无理赔递减机制独特；保证续保期内总赔付限额800万,https://www.huize.com/product/detail-104130.html; https://www.huize.com/product/detail-103429.html; https://www.shenlanbao.com/pingce/1446541226428989440; https://m.huize.com/study/detail-577955.html; https://www.weiyangx.com/477640.html
