product_id,产品名称,承保公司,渠道,在售状态,投保年龄,保障期间,等待期,犹豫期,置信度,数据抓取日,形态,保额档位,缴费期间,重疾责任,中症责任,轻症责任,特疾额外赔,身故责任,豁免,男性年保费(元),女性年保费(元),保费口径,亮点与短板,来源
CI-01,平安盛世福（2025）重大疾病保险,中国平安人寿保险股份有限公司,个险,在售,出生满28日至55周岁（0周岁须出生满28日）,终身,90天（疾病原因）；因意外伤害导致的轻症/中症/重疾无等待期；等待期内确诊退还已交保费、合同终止,20日（自签收合同之日起）,high,2026-09-08,单次赔付（含身故责任，储蓄型）,—,10年/15年/20年/30年交（据官方年交费率表列示）,"120种重大疾病（其中28种为行业统一规范定义）／赔付1次／按max(基本保额, 现金价值)给付，给付后合同所有责任终止",20种中症疾病／每次50%基本保额／累计最多5次（每种限1次）；给付前提是未发生过重疾,40种轻度疾病／每次20%基本保额／累计最多5次（每种限1次）,主险无自带额外赔；平安体系可搭配『平安附加多次给付(2025)重大疾病保险』等附加险实现多次赔付,"含身故责任：18周岁前身故按基本保额确定的年交保险费×已交费年度数给付；18周岁（含）后按max(基本保额, 现金价值)给付；重疾与身故仅给付一项且以一次为限",主险说明书未见被保人豁免责任（需以完整条款及附加险为准）,12700,12200,依据官方《年交费率表（每万元基本保险金额）》换算：30岁男·30年交·254元/万保额、30岁女·244元/万保额 → 50万保额30年交保终身：男12700元/年、女12200元/年（线性换算）；官方投保示例交叉验证：30岁男·30万保额·20年交·10230元/年,大公司个险单次赔付主力产品，赔付取保额与现价较大者；轻症仅20%、中症50%，赔付比例明显低于互联网产品，且无额外赔责任，性价比一般。,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1804&versionNo=1804-1&attachmentType=7; https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1804&versionNo=1804-1&attachmentType=2; https://life.pingan.com/gongkaixinxipilu/baoxianchanpinmulujitiaokuan.jsp
CI-02,国寿康宁尊享重大疾病保险（2025版）（业内称『康宁尊享2025』）,中国人寿保险股份有限公司,个险,在售,出生满28天（0岁）至62周岁,终身,180天,—,medium,2026-09-08,单次赔付为基础＋可选分组多次赔付（含身故，储蓄型）,—,趸交/3年/5年/10年/15年/20年交,"120种重大疾病（其中28种为行业统一规范定义）／基本责任赔付1次／按max(基本保额, 已交保险费×105%, 现金价值)给付；可选重疾多次赔：120种分6组、最多6次、每次100%保额",可选责任：20种中症／每次50%保额／最多2次／不分组无间隔,可选责任：40种轻症／每次20%保额／最多6次,15种少儿特定重疾：18岁前确诊额外赔100%保额（如买30万赔60万）,"含身故：18岁前按max(已交保费, 现金价值)给付；18岁后赔基本保额；重疾理赔后身故责任终止",可选轻中症豁免：缴费期内确诊轻症/中症，豁免剩余保费，保障继续,8760,8160,30岁，30万保额，19年交，保终身（康宁尊享2024版费率口径，第三方测评转述）,品牌与网点优势突出（2024年理赔获赔率99.7%、赔付时效0.34天）；等待期180天偏长、价格高于互联网产品，轻中症需可选附加。,https://zhuanlan.zhihu.com/p/1979137145533920990; https://www.shenlanbao.com/shishi/6-633092; https://p.vobao.com/jihuashu/1140814148387271430.shtml; https://www.e-chinalife.com/xxpl/cpbgtsdjgg/; https://k.sina.cn/article_7857141524_1d452771401901v3a4.html?from=finance; https://news.vobao.com/article/1176134292562607490.shtml
CI-03,太保阿基米德（2025）重大疾病保险（互联网）,中国太平洋人寿保险股份有限公司,互联网（太保官网互联网保险信息披露备案；深蓝保/小雨伞/慧择等平台销售）,在售,出生满28天至55周岁,保20年／保30年／终身,90天,—,medium,2026-09-08,单次赔付，消费型/储蓄型可切换（纯重疾可选，身故责任可选）,—,10年/20年/30年交（第三方平台页列示）,"125种重大疾病（其中28种为行业统一规范定义）／赔付1次／按max(100%基本保额, 已交保费, 现金价值)给付",可选：25种中症／不分组／每次60%／最多3次,可选：50种轻症／不分组／每次30%／最多4次,可选疾病关爱金：60岁保单周年日前首次重疾额外赔100%、中症额外60%、轻症额外30%；可选少儿特定疾病20种（18岁前额外赔130%）；可选成人特定重疾20种（额外赔100%）；可选恶性肿瘤多次赔（间隔365天，依次赔40%/50%/30%）,"可选身故/全残（仅保终身计划可选）：18岁前赔已交保费；18岁后按max(100%基本保额, 已交保费, 现金价值)给付；与重疾金仅赔其一。不选则为消费型纯重疾",可选被保人中症/轻症豁免后续保费；另有可选投保人豁免,7716,8351,小雨伞产品页口径：男—30岁，50万保额，30年交，保终身，基础责任，年交7716元；女—30岁，50万保额，30年交，保终身，基础责任+轻中症责任，年交8351元（男女口径不同，注意不可直接对比）；另有25岁女·30万保额·30年交·保30年·基础责任约1410元/年,大公司互联网产品中性价比突出，1-6类职业可投，核保宽松（乙肝、结节人群有机会承保）；不投保可选责任时可作为纯重疾加保；身故责任仅保终身计划可选。,https://www.cpic.com.cn/xrsbx/gkxxpl/hlwbxxx/hlwbxcpxx/; https://www.shenlanbao.com/pingce/1465298109241958400; https://www.xiaoyusan.com/insurance/detail?id=178994
CI-04,健康无忧卓越版重大疾病保险,新华人寿保险股份有限公司,个险,在售,出生满30天至59周岁（男）／65周岁（女）,终身,90天（疾病原因；等待期内因疾病确诊轻/中/重症或身故的退还已交保费、合同终止）；意外伤害原因无等待期,15日（自签收合同之日起；犹豫期内解除合同扣除不超过10元工本费后退还全部保险费——官方产品说明书第十八条犹豫期）,high,2026-09-08,重疾分组多次赔付（可选），含身故，储蓄型,—,5年/10年/15年/20年/30年交,"130种重度疾病（分为6组；官方产品说明书披露：轻度40种＋中度20种＋重度130种＋青少年特定疾病20种，合计对应宣传的190种疾病）／基本责任：首次重度疾病保险金1次，按max(基本保额, 现金价值, 已交保费)给付；可选责任：重度疾病分6组，85周岁前最高赔6次（首次后每次间隔365日且须为不同组），第2-6次每次100%基本保额",20种中度疾病／每次50%基本保额／累计最多2次（每种限1次）／与重疾不共享保额（轻中症为额外给付，保额不变）,40种轻度疾病／第1次20%、第2次25%、第3-6次30%基本保额／累计最多6次（每种限1次）,青少年特定疾病关爱金（20种青少年特定疾病）：30周岁保单周年日前确诊青少年特疾，在重疾金之外额外按100%基本保额给付，限1次,"含身故：18周岁前身故赔已交保费；18周岁后按max(基本保额, 现金价值, 已交保费)给付；与首次重疾金仅给付一项",可选责任含『首次重度疾病豁免保险费』：承担首次重疾给付责任后豁免后续保费；轻中症豁免未见披露,2590,,未找到公开费率表或30岁·50万·30年缴口径的可信案例；采用官方《产品说明书》投保示例：10周岁男·10万保额·20年交·保终身——基本责任年交2590.02元（示例一）、基本责任+可选责任（重疾多次赔）年交2870.03元（示例二）。数字经说明书演示表校验（第5/7/8/9/20保单年度累计保费÷交费年数均恒等于2590.02元与2870.03元；表格自注『演示数据经过取整处理』，PDF原表格数字存在编码乱序故按累计保费反推）。口径与目标口径（30岁50万30年缴）不同，如实记录；女性费率未披露,轻症递增赔付（20%→30%）且累计6次；多次赔为分组型（须不同组）且限85岁前；男性投保年龄上限低于女性（59 vs 65）是其特点。,https://www.newchinalife.com/spage/cn/266/62834.html; https://www.newchinalife.com/spage/cn/266/index.html; https://static-cdn.newchinalife.com/ncl/pdf/20250909/d7286e1f-2375-4901-b85b-73db6172de6e.pdf; https://www.newchinalife.com/node/670?riskCode=00A13000&status=1
CI-05,泰康乐享健康2026重大疾病保险,泰康人寿保险有限责任公司,电销（官网电销产品信息披露页备案）,在售,0周岁（出生满30天）至70周岁,终身,90天（疾病原因，意外无等待期）；等待期内因非意外出险无息退还已交保费、合同终止,—,medium,2026-09-08,单次赔付（重疾/全残/终末期/身故四项合一，无轻中症）,—,趸交或3年/5年/10年/15年/20年/25年/30年交,"120种重大疾病（系列口径，其中28种为行业统一规范定义；2026版条款未逐字核验）／赔付1次／按max(基本保额, 累计已交保费, 现金价值)给付",无（主险不含；可搭配《泰康附加轻中度豁免保费2026疾病保险》等附加险）,无,无；全残/疾病终末期与重疾共用一套给付规则,"含身故：18周岁以下按max(累计已交保费, 现金价值)；18周岁以上按max(基本保额, 累计已交保费, 现金价值)；重疾/全残/终末期/身故四项责任仅给付一项，给付后合同终止",主险未见自带豁免；另有附加轻中度豁免保费2026可搭配,7240,,30岁男，20万保额，20年交，保终身（沃保案例演示）,投保年龄宽至70岁、责任精简的『纯重疾+身故』形态，适合高龄补充保障；无轻中症责任，保单价值取决于保额与现价设计。,https://m.taikanglife.com/publicinfonew/specialinfo/esalesinfonew/productinfonew/list_494_1.html; https://news.vobao.com/article/1161602721810210230.shtml; https://www.naibabao.com/ketang/54491.html
CI-06,人保寿险无忧人生2025重大疾病保险（成人版）,中国人民人寿保险股份有限公司,个险,在售,18至65周岁（成人版）,终身／保至80周岁,90天,—,medium,2026-09-08,单次赔付为基础＋可选分组多次赔付（含身故）,可选保额≥15万时方可选19/29年交；重疾风险保额按基本1倍+可选0.2倍累计（保额档位未完整披露）,趸交/5年/10年/15年/19年/20年/29年/30年交,"125种重大疾病（其中28种为行业统一规范定义）／基本责任1次／按max(基本保额, 累计已交保费, 现金价值)给付；可选三：80岁前第2、3次重疾（分6组，间隔365天且不同组），每次100%基本保额",可选一：20种中症／50%保额／1次,可选一：40种轻症／20%保额／最多6次（不同病种）,可选二（重疾关爱金）：60岁前首次重疾额外给付50%基本保额,"含身故：按max(累计已交保费, 现金价值)给付",可选三：80岁前首次重疾出险后豁免后续未交保费；轻中症豁免未见披露,14790,,案例1：35岁男，20万保额，19年交，保终身，仅基本部分，6780元/年；案例2：30岁男，30万保额，19年交，保终身，基本+可选一+二+三全责任，14790元/年,8种责任组合方案灵活；多险种累计保额≥30万可享重疾绿通等增值服务；第三方对比指出其轻中症病种缺『慢性肾功能衰竭』。,https://news.vobao.com/article/1150974914618284736.shtml; https://m.vobao.com/p/zhongguorenbao/1151070214070145540.shtml; https://e.picc.com.cn/allproduct/
CI-07,友邦友如意顺心版（2025）重大疾病保险（『友如意顺心版(2025)保险产品计划』主险）,友邦人寿保险有限公司,个险（营销员渠道）,在售,18-55周岁（10/20年交）／18-45周岁（30年交）,终身（主险保险期限）,90天（自合同生效日或最后一次效力恢复之日起90日内（含第90日）为重度/中度/轻度疾病保险金等待期；因意外事故导致的不受等待期限制。依据：深蓝保对《友邦友如意顺心版重大疾病保险》条款的归纳及友邦同系列顺心佳条款原文；顺心版(2025)官网产品页未直接标注）,—,high,2026-09-08,单次赔付为基础，可附加分组多次赔＋恶性肿瘤多次赔（计划组合）,—,10年/20年/30年交（无10年以下缴费期）,120种重症（其中28种为行业统一规范定义）／重症、全残、身故、生命终末期四项合并，给付100%基本保额，限一项一次；可选附加『倍如意(2025)』：重症分5组最多额外4次、每次100%（间隔180日且跨组）,25种中症／按计划档位每次20%/40%/60%基本保额（计划B为40%）／最多5次；与轻症累计最高10次，前后两次无间隔期；同因多种中症仅赔一种,40种轻症／按计划档位每次10%/20%/30%基本保额（计划B为20%）／最多5次,可选附加『爱如意D款恶性肿瘤（重度）疾病保险』：恶性肿瘤最多额外赔2次、每次100%基本保额（首次癌症后满3年处于癌症状态可赔）,含身故（与重疾共享保额，四项责任仅给付一项）,可选附加『轻如意(2025)豁免保险费疾病保险』：首次罹患轻症或中症豁免剩余保费；倍如意/爱如意附加险自带首次重症豁免,13200,12700,2026-09-10在友邦官网『公开信息披露』栏目找到主险《友邦友如意顺心版（2025）重大疾病保险》标准体费率表PDF（每1000元基本保额·年交）：30年交·30岁——计划A男25.2/女24.0、计划B男26.4/女25.4、计划C男27.6/女26.8 → 50万保额30年交保终身对应：计划A男12600/女12000、计划B男13200/女12700、计划C男13800/女13400元/年。填入计划B口径（官网产品计划组成示例选择计划B，即中症40%/轻症20%档）；该费率为主险标准体年交保费，未含轻如意/倍如意/爱如意等附加险。交叉验证：同目录《友邦友如意顺心佳（2025）》费率表30年交30岁男24.0/女22.7（30万保额=男7200/女6810元/年，与沃保引述数字一致）,轻中症最高合计10次且无间隔期，计划A/B/C三档自由定制赔付比例；交费期内享『如意愈从容升级版』重疾专案管理服务；无10年以下缴费期。（2026-09-10更正：主险标准体费率表实际已在友邦官网公开信息披露栏目披露PDF，附加险组合报价仍需代理人计划书）,https://www.aia.com.cn/zh-cn/baoxian/jibingbaozhang/ruyishunxin2025; https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/prem/%E5%8F%8B%E9%82%A6%E5%8F%8B%E5%A6%82%E6%84%8F%E9%A1%BA%E5%BF%83%E7%89%88%EF%BC%882025%EF%BC%89%E9%87%8D%E5%A4%A7%E7%96%BE%E7%97%85%E4%BF%9D%E9%99%A9%E7%9A%84%E8%B4%B9%E7%8E%87%E8%A1%A8.pdf; https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/prem/%E5%8F%8B%E9%82%A6%E5%8F%8B%E5%A6%82%E6%84%8F%E9%A1%BA%E5%BF%83%E4%BD%B3%EF%BC%882025%EF%BC%89%E9%87%8D%E5%A4%A7%E7%96%BE%E7%97%85%E4%BF%9D%E9%99%A9%E7%9A%84%E8%B4%B9%E7%8E%87%E8%A1%A8.pdf; https://www.shenlanbao.com/wenda/1-436676
CI-08,太平福禄嘉禧重大疾病保险,太平人寿保险有限公司,个险,在售,出生满28天（0岁）至65周岁,终身,90天（意外导致无等待期）,—,medium,2026-09-08,分组多次赔付（可选），含身故，少儿/成人特疾额外赔,—,趸交/5年/10年/15年/20年/30年交,"120种重大疾病（其中28种为行业统一规范定义）／分6组（可选部分二）最高赔6次／首次按max(基本保额, 已交保费×105%, 现金价值)给付，第2-6次各100%保额，间隔1年、须为其他组、88岁前",可选部分一：中症每次50%保额／最多2次,可选部分一：轻症每次20%保额／最多6次,特定疾病额外赔：18岁前确诊少儿特定重疾，或18-65岁确诊成人特定失能重疾，在重疾金之外额外赔100%基本保额,"含身故：18岁前赔已交保费；18岁后按max(基本保额, 已交保费×105%, 现金价值)给付；重疾与身故仅赔1次",可选一：确诊轻/中症豁免后续保费；可选二：确诊重疾豁免后续保费,,,沃保案例：0岁男·30万保额·20年交·基本部分+可选一+可选二，年交6810元；30岁女·50万保额·30年交·基本部分+可选二，约1.2万元/年（原文注明系作者按少儿保费推算，非官方费率，谨慎使用）。2026-09-10补充：沃保2026-08-10最新测评再给参考价——30岁女·基础+重疾多次赔·50万·30年交约12000元/年；30岁男·仅基础重疾+身故·50万·30年交约7800元/年；0岁男·基础+轻中症+多次赔·30万·20年交约6800元/年——仍为平台编辑测算口径（未附官方费率表，且与2025年旧文数字基本相同），未达到官方/平台实价标准，故数字字段继续留空,重疾多次赔间隔仅1年且高发重疾分组覆盖较全；支持保单贷款（最高现金价值80%）与年金转换权；轻中症为可选责任。,https://news.vobao.com/article/1150110253536972609.shtml; https://life.cntaiping.com/info-zstscp/; https://news.vobao.com/article/1179394292426545459.shtml
CI-09,达尔文12号（备案名：复星联合优选K重大疾病保险（互联网））,复星联合健康保险股份有限公司,互联网（深蓝保/慧择等平台）,在售,出生满28天至55周岁,保至70周岁／终身,180天,—,medium,2026-09-08,单次赔付，消费型为主（可选身故、可选重疾多次赔）,—,最长30-35年缴（深蓝保口径最长35年，慧择口径最长30年，来源不一致以条款为准）,120种重大疾病（其中28种为行业统一规范定义）／赔付1次100%基本保额；因意外导致首次重疾额外给付35%；可选重疾多次赔：65岁前二次赔（其他重疾间隔365天/同种间隔1095天，赔120%）或终身多次赔（额外2次各120%，前后两次有一次为癌症时隔180天）,30种中症／不分组／每次60%／最多3次；可选60岁前首次中症额外赔50%,45种轻症／不分组／每次30%／最多4次；可选60岁前首次轻症额外赔10%；重疾赔付后轻中症继续赔、无间隔不分组,可选疾病关爱金：60岁前首次重疾额外赔80%基本保额；住院津贴：60岁前未确诊重疾、60岁后住院每天赔0.1%保额（每年最多90天，累计以100%保额为限）；顶梁柱关爱金：确诊癌症时子女未满18岁或父母已满60岁赔30%；重大疾病保费补偿金：缴费期内确诊重疾返还已交保费,可选身故/全残：18岁前赔已交保费；18岁后赔100%基本保额（不选则为消费型）,轻症、中症、重疾豁免后期保费，合同继续有效,6710,6290,30岁，50万保额，30年交，保终身，仅必选（基础）责任：男6710元/年、女6290元/年（知乎2026年对比文口径）；同条件保至70岁：男约5610元/年,理赔条件宽松（重疾赔后轻中症继续赔且无间隔期、独创60岁后住院津贴）；等待期180天长于多数大公司产品。,https://www.shenlanbao.com/pingce/1410351806239555584; https://zhuanlan.zhihu.com/p/2071185799752725980; https://www.shenlanbao.com/zhinan/2027268745348902912
CI-10,超级玛丽16号（含Pro版）,君龙人寿保险股份有限公司,互联网（小雨伞/慧择/深蓝保等平台）,在售,出生满28天至50周岁,终身（Pro版）；是否另有保至70岁版本未核实,180天,15日（慧择专栏：超级玛丽16号pro『覆盖110种重疾，等待期180天，犹豫期15天』，互联网渠道15日口径）,medium,2026-09-08,单次赔付，消费型为主（基础责任含重疾医疗保险金，可选多次赔/身故）,最高基本保额50万；起投保费约407元/年,最长35年缴,110种重大疾病（其中28种为行业统一规范定义）／赔付1次100%基本保额；可选疾病关爱金类责任：45岁前重疾额外赔100%（即『50万保额45岁前赔100万』量级，以条款为准）；可选同种重疾复发多次赔,35种中症／每次75%基本保额（测评口径，较上代60%提升）／与轻症合并最多6次、不分组、无间隔期,40种轻症／每次30%基本保额／与中症合并最多6次；重疾赔付后非同组轻中症保障不终止、继续赔,重疾医疗保险金（创新）：首次确诊重疾后5年内因重疾治疗的住院医疗费/特殊门诊费按100%报销，累计最高50%基本保额、保证最低给付30%基本保额；三大高发结节（肺/乳腺/甲状腺）特色保障，结节切除术后确诊肺癌等可额外赔,可选身故或全残保险金（等待期180天）：18周岁前赔付累计已交保费与现金价值的较大者；18周岁及以后赔付100%基本保额；不选则为消费型（小雨伞16号Pro产品页责任表；开心保/网易测评同口径：18岁前赔已交保费与现价较大者、18岁后赔基本保额）,被保人豁免：确诊重疾/中症/轻症或身故/全残，豁免后续保费,6300,6150,超级玛丽16号Pro·30岁·50万保额·30年交·保终身·仅基础（必选）责任：男6300元/年、女6150元/年（奶爸保2026-08测评，同口径另有25岁5480/5350、35岁7450/7180、30万保额3780/3690，内部线性一致；其对比之达尔文12号6710/6290与本库达尔文12号记录口径一致，可交叉印证）。注意：标准版16号已于2026-05-21下架、由Pro版接档，此数字为Pro版（现行在售版本）；慧择专栏同口径给区间价男约5000-6000元/女约4500-5500元（疑似标准版或较早费率，与奶爸保数字略有出入）；此前小雨伞『30岁40万30年交约6000元不分性别』口径亦无法完全对齐，一并留存供参考,『先赔再报』的重疾医疗保险金为行业首创，叠加可选责任最高可赔4.2倍保额；同保额下较达尔文12号涨价明显；标准版与Pro版责任有差异，投保时需分清版本。,https://www.xiaoyusan.com/shk/wkpage/article/index.html?articleid=300011585; https://www.shenlanbao.com/zhinan/2027268745348902912; https://zhuanlan.zhihu.com/p/2040757604692006407; https://www.naibabao.com/wenda/28318.html; https://www.xiaoyusan.com/insurance/detail?chn=h5index&subchn=new_user&id=179542; https://m.huize.com/study/detail-573133.html; https://www.163.com/dy/article/KR73UGO8055659JN.html
